time,bee1_id,bee2_id,task_id,task_1,task_2
3172.949020102198,2,1,2,0.5053,0.1593423478795329
3173.825647162327,2,2,1,0.506,0.1678318992009834
3173.901016922367,1,1,2,0.1566,0.7255301167793485
3175.195118526779,1,1,2,0.1651,0.7217655193607867
3175.402087930334,2,2,1,0.5071,0.16425937307928704
3176.4270287229006,1,2,1,0.1651,0.7217655193607867
3177.114465001466,2,1,2,0.5071,0.16425937307928704
3177.6101990043817,2,2,1,0.505,0.17697449293177628
3177.68498600023,1,2,1,0.1651,0.7217655193607867
3180.3714331380525,2,2,1,0.5077,0.1678318992009834
3180.8041644114473,1,2,1,0.1651,0.7217655193607867
3181.567946188002,2,2,1,0.5087,0.17140442532267977
3182.2299978282754,2,2,1,0.5081,0.1667562999385372
3185.4018810517855,1,2,1,0.1651,0.7217655193607867
3185.6161628173327,2,1,2,0.5081,0.1667562999385372
3186.0080218607004,2,2,1,0.5081,0.17048248309772587
3186.9861484451644,2,1,2,0.5081,0.17048248309772587
3187.984588701845,2,1,2,0.5081,0.17048248309772587
3189.790577019574,2,2,1,0.5074,0.1668715427166564
3189.951804046694,1,1,2,0.1544,0.7275660725261217
3190.0721559775134,2,2,1,0.5094,0.1633758451137062
3190.170873883683,2,2,1,0.5065,0.17666717885679165
3190.4759121751326,2,1,2,0.5065,0.17666717885679165
3191.6476790997576,2,2,1,0.511,0.16748617086662568
3191.683931777338,2,1,2,0.511,0.16748617086662568
3192.0319932745097,2,1,2,0.511,0.16748617086662568
3192.060712737606,2,1,2,0.511,0.16748617086662568
3195.1891194104355,2,2,1,0.5052,0.1708282114320836
3197.5374579122217,2,2,1,0.5103,0.16318377381684082
3199.3370103955763,1,1,1,0.2682,0.6382145052243393
3199.3385144884182,2,2,1,0.5089,0.1676782421634911
3199.704408511784,2,1,2,0.5089,0.1676782421634911
3199.942108332856,1,2,1,0.2682,0.6382145052243393
3202.603149000599,2,1,2,0.5089,0.1676782421634911
3203.2194282829128,2,2,1,0.5105,0.1624154886293792
3205.139859462275,1,1,2,0.1754,0.7253380454824832
3205.6706183856927,2,2,1,0.5117,0.1676782421634911
3207.8188425382864,2,1,2,0.5117,0.1676782421634911
3208.2787127389956,2,1,2,0.5117,0.1676782421634911
3208.4890760644957,1,1,2,0.1662,0.72529963122311
3208.855893918914,2,2,1,0.5088,0.16160878918254457
3209.0815667925904,2,2,1,0.5082,0.16460510141364473
3209.4253261552626,1,1,2,0.1623,0.7287953288260602
3209.5887978990463,1,2,1,0.1623,0.7287953288260602
3210.689697192239,2,2,1,0.5121,0.16372157344806393
3210.8225404798263,1,1,2,0.16,0.7301782421634911
3210.9543113218656,2,1,2,0.5121,0.16372157344806393
3211.434202582839,1,2,1,0.16,0.7301782421634911
3211.4984855263697,2,1,2,0.5121,0.16372157344806393
3213.297173570022,2,1,2,0.5121,0.16372157344806393
3214.167289482668,2,2,1,0.5069,0.16733251382913336
3215.5393460312694,2,2,1,0.51,0.15818992009834051
3215.689309785936,1,2,1,0.16,0.7301782421634911
3215.920899442061,2,2,1,0.5065,0.15492470805162875
3217.516857972858,2,2,1,0.5065,0.16794714197910265
3217.8924933161475,2,1,2,0.5065,0.16794714197910265
3218.417097661108,2,1,2,0.5065,0.16794714197910265
3219.569344194357,1,1,2,0.1603,0.7270666871542717
3221.7052765002586,1,2,1,0.1603,0.7270666871542717
3222.4728002600814,2,2,1,0.5024,0.16902274124154887
3223.5811930855357,2,2,1,0.5103,0.1678703134603565
3223.9127238113065,2,1,2,0.5103,0.1678703134603565
3223.98394320033,2,2,1,0.5087,0.16160878918254457
3225.2551438488567,2,2,1,0.507,0.14804855562384758
3225.2583467365002,2,2,1,0.5073,0.1618776889981561
3225.759612261395,1,2,1,0.1603,0.7270666871542717
3226.4579079505575,1,1,2,0.158,0.7284880147510756
3226.8428133523093,1,1,2,0.1631,0.7255301167793485
3228.0199767688578,1,1,2,0.1651,0.7324062692071297
3228.1957300263225,1,2,1,0.1651,0.7324062692071297
3229.2899080271745,1,1,2,0.1511,0.7249154886293793
3230.387886641342,1,1,2,0.1539,0.729179471419791
3230.613295130528,2,2,1,0.5073,0.15511677934849416
3230.7902717639163,1,1,2,0.1559,0.7281038721573448
3231.1020631441734,2,2,1,0.5102,0.16717885679164105
3231.253638115186,2,1,2,0.5102,0.16717885679164105
3235.1107401086792,2,1,2,0.5102,0.16717885679164105
3235.4743048589235,1,2,1,0.1559,0.7281038721573448
3235.9631508225757,2,2,1,0.5048,0.15519360786724032
3236.4064601222335,2,2,1,0.5039,0.16621850030731408
3238.9181443297193,1,2,1,0.1559,0.7281038721573448
3239.6801154567293,2,2,1,0.5124,0.15999539028887522
3240.171782788509,1,1,2,0.1532,0.723340503995083
3240.348423306383,2,1,2,0.5124,0.15999539028887522
3241.9369555425633,2,1,2,0.5124,0.15999539028887522
3244.004409500844,2,1,2,0.5124,0.15999539028887522
3244.5874982073497,2,1,2,0.5124,0.15999539028887522
3245.0455141699067,1,2,1,0.1532,0.723340503995083
3248.783997149202,2,2,1,0.5061,0.17040565457897972
3248.855921067178,2,1,2,0.5061,0.17040565457897972
3248.9064349956966,2,2,1,0.51,0.1574216349108789
3252.761182043106,1,2,1,0.1532,0.723340503995083
3254.748064054895,2,1,2,0.51,0.1574216349108789
3254.993426804536,1,2,1,0.1532,0.723340503995083
3265.8252926202467,2,1,2,0.51,0.1574216349108789
3266.070726643069,2,2,2,0.391,0.27938690842040564
3267.105858158239,2,1,2,0.391,0.27938690842040564
3267.190768596379,2,2,1,0.5092,0.16871542716656424
3267.251297613462,1,1,1,0.2672,0.6304932390903504
