time,bee1_id,bee2_id,task_id,task_1,task_2,task_3,task_4,task_5
694.7888161362299,2,3,1,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
696.2623529667906,1,4,3,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
696.8179441441304,5,2,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
697.8195026720587,2,1,1,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
698.320261917927,1,3,4,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
698.5541824110162,2,4,1,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
699.0417056271191,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
699.1841165830093,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
699.3476191028785,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
699.6265078475874,3,1,3,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
699.8084818978348,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
700.5689661556316,2,1,3,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
701.2626764497709,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
703.7285716230714,1,3,4,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
703.9513488595054,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
705.3474539761747,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
706.6215488429359,4,2,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
706.7897609439804,3,1,1,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
708.2952713342861,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
708.3482144991989,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
709.797691872505,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
709.807442761452,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
710.7545001065575,3,5,5,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
712.479188427257,2,1,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
712.7012333302163,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
713.8008124974615,5,3,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
715.805325302458,3,1,1,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
716.1959788434435,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
717.5396773625265,5,2,5,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
717.669098136768,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
717.7919647219444,3,2,1,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
718.435820240593,5,1,2,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
719.1093070569231,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
719.651729332362,5,2,5,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
719.9355935769145,5,2,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
720.0276099022166,4,2,2,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
720.5688181410355,3,5,5,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
722.5139717904168,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
724.8814174688812,1,3,4,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
725.8621180928253,2,4,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
726.9839671003097,4,1,3,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
727.7917732095614,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
729.803968470086,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
733.936948901272,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
737.7930970523227,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
740.3318293090829,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
740.7103145555496,2,5,3,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
741.3393062540686,5,3,2,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
743.6812363003654,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
744.3394807962553,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
744.8120746423921,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
746.3899503612366,1,3,4,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
747.6323890199803,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
749.4337580887075,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
750.0024077218736,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
750.9899811822274,5,2,5,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
751.0818430867719,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
751.5188469804831,4,2,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
751.6841838697396,3,4,3,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
751.8402997255102,5,1,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
752.0860756362931,5,3,5,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
752.7920805984517,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
755.2003419457812,1,4,2,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
755.8025609368556,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
756.8275408339966,1,3,4,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
760.0638854394067,2,1,2,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
761.4846003001063,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
761.8479492209808,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
762.5925880430261,5,2,5,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
763.953627149908,5,4,2,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
764.939774914461,2,5,2,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
766.3192354477023,2,1,1,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
766.9818669645956,4,3,2,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
768.1053538771486,4,5,3,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
769.3728450289632,5,2,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
769.7361657293368,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
769.8926237400366,3,5,5,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
770.6342515740986,4,1,2,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
772.4690985322907,4,3,2,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
772.9568759553997,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
774.1758880862001,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
774.3235901454104,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
775.388101628843,1,3,4,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
776.9215793046739,2,1,2,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
777.7711303182899,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
777.9463326014569,1,3,4,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
778.347504391721,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
778.4978571906393,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
778.7524677768179,2,4,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
782.2562512301855,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
783.9598750780966,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
785.4908813914094,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
788.0323259134833,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
789.3390018704173,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
790.0746767186882,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
790.1219224603556,1,4,5,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
790.2030552433642,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
