root,param_folder,param_dir,error
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_124_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_124_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_125_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_125_rep_2,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_126_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_126_rep_2,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_127_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_127_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_128_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_128_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_129_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_129_rep_5,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_12_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_12_rep_1,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_12_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_12_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_130_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_130_rep_1,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_130_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_130_rep_2,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_130_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_130_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_131_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_131_rep_2,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_131_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_131_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_131_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_131_rep_5,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_132_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_132_rep_2,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_133_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_133_rep_2,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_133_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_133_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_134_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_134_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_137_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_137_rep_5,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_139_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_139_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_13_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_13_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_13_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_13_rep_5,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_140_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_140_rep_1,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_140_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_140_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_141_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_141_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_141_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_141_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_143_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_143_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_143_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_143_rep_5,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_146_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_146_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_147_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_147_rep_2,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_147_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_147_rep_3,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_148_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_148_rep_1,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_148_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_148_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_149_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_149_rep_4,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_14_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_14_rep_1,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_14_rep_5,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_14_rep_5,missing config.json
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram,param_150_rep_4,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/2b2t15c10000e5-6lr100ls_full_phase_diagram/data/param_150_rep_4,missing config.json
